Generation,Zeit,Hoechste Fitness,Durchschnittliche Fitness
0,2.79,27,17.97
1,2.7,30,17.44
2,2.56,41,22.67
3,2.48,35,23.5
4,2.45,36,20.4
5,2.5,36,24.67
6,2.55,31,23.01
7,2.56,35,23.79
8,3.09,31,23.75
9,3.09,30,21.48
10,4.2,36,23.49
11,4.51,32,25.52
12,4.21,33,23.0
13,3.88,37,26.6
14,3.54,40,30.95
15,3.36,30,23.76
16,3.47,36,27.52
17,3.75,41,29.3
18,3.42,33,23.97
19,3.98,41,28.73
20,3.62,36,27.55
21,3.6,41,31.62
22,3.81,40,32.45
23,3.68,36,28.24
24,3.55,32,23.45
25,3.58,35,29.55
26,3.61,39,27.99
27,3.7,34,26.52
28,3.6,38,30.13
29,3.74,36,27.36
30,3.7,38,28.85
31,3.65,38,29.99
32,3.78,32,26.21
33,3.78,35,24.02
34,3.64,33,26.55
35,3.51,34,24.42
36,3.61,34,26.22
37,3.62,35,30.36
38,3.74,36,28.43
39,3.41,32,28.23
40,3.52,32,26.5
41,3.52,42,34.03
42,3.46,39,31.76
43,3.73,31,24.04
44,3.55,30,24.78
45,3.47,34,28.86
46,3.46,39,32.78
47,3.57,39,31.58
48,3.52,40,32.98
49,3.09,31,25.47
50,3.64,43,33.77
51,3.41,39,31.39
52,3.28,30,25.01
53,3.39,36,29.99
54,3.44,43,33.69
55,3.68,43,34.58
56,3.49,36,28.22
57,3.43,34,26.4
58,3.47,37,27.1
59,3.49,37,30.28
60,3.66,39,32.09
61,3.63,40,32.25
62,3.38,35,26.87
63,3.39,42,35.17
64,3.64,41,31.44
65,3.69,36,29.57
66,3.61,38,29.78
67,3.54,36,28.95
68,3.57,40,31.47
69,3.44,29,24.9
70,3.67,37,29.59
71,3.58,36,28.18
72,3.62,34,24.98
73,3.71,37,28.8
74,3.96,32,26.01
75,3.74,43,38.44
76,3.7,37,30.69
77,3.44,41,33.54
78,3.6,37,32.21
79,3.66,35,27.82
80,3.57,28,22.99
81,3.6,35,28.93
82,3.78,36,29.69
83,3.76,34,29.14
84,3.83,42,33.99
85,3.57,32,25.56
86,3.68,36,29.8
87,3.78,46,38.41
88,3.47,42,36.18
89,3.44,34,28.32
90,3.75,34,29.86
91,3.58,43,38.81
92,3.57,32,27.35
93,3.56,39,33.17
94,3.46,36,27.33
95,3.33,42,36.49
96,3.46,38,33.77
97,3.65,40,33.92
98,3.6,34,27.46
99,3.54,35,30.21
